"","routeid","linknummer","richting","snelheid","uur","weekdag"
"879",756211260,562939,"f",14.288491527872,10,0
"880",756211260,317209,"t",16.0360396948558,10,0
"881",759999392,2109155,"t",22.0518250803148,14,0
"882",759999392,86071,"f",18.9306691760343,14,0
"883",772096043,317209,"f",13.1836263166632,14,0
"884",783531676,1744225,"f",14.3382379249816,14,2
"885",861941743,562939,"t",24.0108322781955,13,5
"886",864580460,562939,"t",21.7439259741714,11,5
"887",897782671,1744225,"f",15.6630307042797,11,6
"888",921780267,562939,"t",13.457829044706,13,0
"889",570342848,83469,"f",20.5271769614818,12,1
"890",570342848,567310,"f",19.0920129365335,12,1
"891",590055566,2109156,"t",21.5086179425111,16,1
"892",612935170,567028,"t",19.3739958928734,11,1
"893",619830181,2336323,"t",22.1208352307373,15,1
"894",619830181,2109161,"t",19.5185399188701,15,1
"895",619830181,87782,"t",18.774720591086,15,1
"896",619830181,567028,"f",15.3908377357352,15,1
"897",619830181,2319546,"t",21.2579349383039,15,1
"898",629263188,82234,"f",11.9036505022972,12,3
"899",649300362,85908,"t",19.7457065816479,13,1
"900",649300362,86068,"f",23.9652987245094,13,1
"901",649300362,338814,"t",23.9904185984673,13,1
"902",658728110,338542,"t",15.9152482591484,11,4
"903",658728110,82234,"t",15.8582331281066,11,4
"904",658728110,82242,"t",18.2633774195954,11,4
"905",658728110,83469,"f",19.9194120966589,11,4
"906",658728110,567310,"f",21.5024823538615,11,4
"907",659842495,2319546,"f",14.4621433172947,11,4
"908",659842495,567028,"t",13.0464884487856,11,4
"909",665164655,87782,"t",19.8876477441058,15,4
"910",665852725,2336323,"t",17.3217677003849,16,4
"911",665852725,2109161,"t",25.016840528776,16,4
"912",667442284,2109156,"t",18.4731934756997,16,4
"913",691582881,2319546,"f",20.2670363731958,12,5
"914",691582881,338814,"f",19.1013265615335,12,5
"915",691582881,87297,"t",14.9638169492164,12,5
"916",691582881,86068,"t",26.0889303326141,12,5
"917",691582881,85908,"f",16.7705344836997,12,5
"918",691582881,2109156,"t",20.6756136322548,12,5
"919",693073569,2319546,"t",22.3991131452138,13,5
"920",694102364,317286,"f",21.100537825478,14,5
"921",694102364,82250,"f",24.2858691256453,14,5
"922",694102364,82242,"f",19.4639139568199,14,5
"923",694102364,82234,"f",16.0740305834266,14,5
"924",694102364,338542,"f",17.6702521673773,14,5
"925",701379402,338814,"f",15.5500823124145,13,5
