"","routeid","linknummer","richting","snelheid","uur","weekdag"
"7436",685488963,441559,"t",14.0461985360026,8,3
"7437",685488963,441553,"f",14.9745098997096,8,3
"7438",685488963,441453,"f",14.89062056913,8,3
"7439",685488963,441761,"t",14.9614726944424,8,3
"7440",685488993,441761,"f",9.87245388317706,15,3
"7441",685488993,441453,"t",16.7256869429334,15,3
"7442",685489043,441453,"f",16.8833414593869,8,4
"7443",685489043,441761,"t",14.0944340050123,8,4
"7444",685489143,1362173,"f",17.1715543638995,16,4
"7445",685489143,441863,"f",18.434057475754,16,4
"7446",685489261,441559,"t",16.8356877070395,8,5
"7447",685489261,441553,"f",18.1863010163717,8,5
"7448",685489261,441453,"f",18.5204817165743,8,5
"7449",685489261,441761,"t",11.9741207449341,8,5
"7450",687061684,1361102,"t",16.3488098781191,16,4
"7451",687061684,1360569,"t",13.634075404998,16,4
"7452",687061684,1360603,"f",15.0439800463157,16,4
"7453",687789047,199334,"t",13.7724405986398,11,5
"7454",687789047,1361123,"f",14.8240052022449,11,5
"7455",687789047,441761,"f",15.6793418679291,11,5
"7456",689623440,212374,"f",21.7528546789705,7,5
"7457",689623440,1361123,"t",23.6833884910622,7,5
"7458",689658406,230393,"t",20.4187947011258,12,5
"7459",689658406,230209,"f",22.3375689932468,12,5
"7460",689866952,1361102,"t",19.5091440549335,17,4
"7461",689866952,1360569,"t",18.4334789192358,17,4
"7462",689866952,1360603,"f",18.5815669545746,17,4
"7463",689867068,1360603,"t",22.2264013639732,7,5
"7464",689867068,1360569,"f",22.202714632565,7,5
"7465",689867068,1361102,"f",20.9715559156523,7,5
"7466",689867239,1361102,"t",20.3519091827001,11,5
"7467",689867239,1360569,"t",21.4214592010965,11,5
"7468",689867239,1360603,"f",22.94958495403,11,5
"7469",690516249,441761,"t",11.3078928696372,7,5
"7470",690516249,1361123,"t",27.4512811697792,7,5
"7471",690516249,324554,"t",16.881545617584,7,5
"7472",691678682,1360569,"t",9.57310020918514,12,5
"7473",691678682,1360603,"f",13.5914640235161,12,5
"7474",691678682,441863,"f",16.3382291015074,12,5
"7475",691678682,228017,"f",10.4924083377787,12,5
"7476",691881433,442510,"f",13.5902410141962,13,5
"7477",691881433,441761,"f",15.3961167941747,13,5
"7478",691881433,228017,"f",18.2482645151522,13,5
"7479",691881433,228018,"f",18.5048046310183,13,5
"7480",692651434,1362023,"t",15.8585503419274,13,5
"7481",692651434,212374,"f",17.2249729355407,13,5
"7482",692651434,1360927,"f",23.8380518866411,13,5
"7483",692651434,443272,"t",21.0226068010455,13,5
"7484",693572362,1368123,"t",22.5692323151815,12,5
"7485",693653359,440976,"t",14.4118453529864,17,2
"7486",693653359,440975,"t",22.3312590584426,17,2
"7487",693653359,440560,"f",12.3535099382632,17,2
"7488",696225378,1368123,"f",14.2877807453806,14,5
"7489",696483060,1362023,"f",0,8,5
"7490",696483060,441453,"f",0,8,5
"7491",696483060,441761,"t",14.6971970275032,8,5
"7492",696483060,442510,"t",12.6503653251845,8,5
"7493",696483181,443272,"f",15.7599649418573,12,5
"7494",696703924,441923,"t",17.9413919905806,8,2
"7495",696904469,1361123,"f",19.9917622756025,15,5
"7496",696904469,212374,"t",21.8196060634164,15,5
"7497",698506845,1368123,"t",49.6502248185482,15,5
"7498",698506845,330398,"f",21.9951906437949,15,5
"7499",698585723,443272,"f",14.4987915899181,16,5
"7500",699537225,441453,"f",18.4343010473393,10,5
"7501",699537225,441761,"t",14.8460349428658,10,5
"7502",699537225,442510,"t",21.3826890944721,10,5
"7503",699537525,1360927,"t",18.362158557324,11,5
"7504",699537525,442510,"f",14.8959760834025,11,5
"7505",699537525,441761,"f",14.4224826614676,11,5
"7506",699537525,441453,"t",17.8926616805408,11,5
"7507",701416162,443369,"f",15.3468017421354,14,5
"7508",701416162,1363708,"t",4.28379760796188,14,5
"7509",701416162,1360947,"t",16.1927118247493,14,5
"7510",701416162,443272,"f",16.2664684064542,14,5
"7511",701416162,1362023,"f",17.5329981876872,14,5
"7512",702325533,228017,"f",18.1743111523891,17,5
"7513",702325533,228018,"f",16.7306810926508,17,5
"7514",702714924,441761,"t",8.08364554693558,15,5
"7515",702853338,440976,"t",26.6958951096508,17,5
"7516",702853338,440975,"t",25.3298440910359,17,5
"7517",702853338,441863,"t",18.5061563521712,17,5
"7518",702853338,1362173,"t",18.4348781094772,17,5
"7519",702853338,442510,"t",16.9155665392946,17,5
"7520",702853338,1361123,"t",13.3728636919043,17,5
"7521",703096044,1361102,"f",24.5060735479635,16,5
"7522",704464162,441761,"f",12.5359474429627,18,5
"7523",705560776,440960,"t",17.0072880760128,21,4
"7524",705560787,440960,"f",14.6164965381863,9,5
"7525",705560800,440960,"t",18.2882734565581,18,5
"7526",706400288,230393,"t",34.4155184569893,16,5
"7527",706400288,228018,"t",34.3849286201137,16,5
"7528",706400288,228017,"t",28.2635535892212,16,5
"7529",715318491,441067,"f",19.2070379502813,16,5
"7530",715318491,1368123,"f",19.4160526531808,16,5
"7531",716174690,200666,"t",18.7125100738587,17,5
"7532",716174690,441453,"t",15.5486266956864,17,5
"7533",716174690,1362023,"t",13.4945842725413,17,5
"7534",716883712,443369,"f",28.4762093832211,7,6
"7535",716883712,324554,"t",27.5680976720006,7,6
"7536",717965042,442510,"t",14.0807366685292,8,6
"7537",717965042,443272,"t",20.6030534840442,8,6
"7538",717965042,1360947,"f",23.1262298718715,8,6
"7539",717965042,1363708,"f",9.30802306276812,8,6
"7540",717965042,443369,"t",22.0475088222918,8,6
"7541",719878490,441761,"t",11.7446395563741,8,6
"7542",719878539,230393,"t",16.047880941148,10,6
"7543",723270567,441702,"t",14.2062531308755,12,6
"7544",723270567,212374,"f",19.487297679707,12,6
"7545",723270567,1360927,"f",18.657194406915,12,6
"7546",727454957,212374,"f",19.3507018109541,12,6
"7547",727454957,1361102,"f",17.3519027046281,12,6
"7548",727455150,1361102,"t",14.8937086194868,13,6
"7549",727455150,1360569,"t",13.4937541793211,13,6
"7550",727455150,1360603,"f",15.0415089932094,13,6
"7551",728039032,1361102,"f",9.99436493300147,14,6
"7552",728847810,441646,"t",12.204997983328,14,6
"7553",728847810,441641,"t",15.0437119554371,14,6
"7554",729937395,230209,"t",17.5210936579264,15,6
"7555",729937395,230393,"f",16.6256306624983,15,6
"7556",730103175,443272,"f",17.9990251934821,14,6
"7557",730103175,441702,"f",16.9184740507969,14,6
"7558",730103175,1362023,"f",12.8152120132811,14,6
"7559",731570607,1368123,"t",19.5165742811068,13,6
"7560",731570607,441067,"t",18.1980341926665,13,6
"7561",731570607,230393,"f",20.0132765340566,13,6
"7562",733712603,440960,"t",18.1834077963038,17,6
"7563",735937479,200666,"t",32.6449489252928,17,6
"7564",735937479,441863,"f",33.6154324359433,17,6
"7565",735937479,441887,"f",31.3853779947162,17,6
"7566",735937479,1361072,"f",32.9012590544998,17,6
"7567",735937479,1361077,"f",31.8241365411821,17,6
"7568",738117472,1360569,"t",10.1245939821916,13,6
"7569",738117472,1360603,"f",17.2959319991115,13,6
"7570",738117472,441863,"f",12.1258755076382,13,6
"7571",741600860,441067,"f",18.6914901213524,16,6
"7572",741600891,441370,"f",22.2472936704499,22,6
